,Country,Regional indicator,Score 2017,GDP per capita 2017,Social support 2017,Healthy life expectancy 2017,Freedom to make life choices 2017,Generosity 2017,Perceptions of corruption 2017,Score 2018,GDP per capita 2018,Social support 2018,Healthy life expectancy 2018,Freedom to make life choices 2018,Generosity 2018,Perceptions of corruption 2018,Score 2019,GDP per capita 2019,Social support 2019,Healthy life expectancy 2019,Freedom to make life choices 2019,Generosity 2019,Perceptions of corruption 2019
74,Montenegro,Central and Eastern Europe,5.347,1.0170000000000001,1.2790000000000001,0.7290000000000001,0.259,0.111,0.081,5.523,1.051,1.361,0.871,0.19699999999999998,0.142,0.08,5.54610014,1.010150075,1.265657902,0.839028895,0.303223848,0.14901033,0.09843511099999999
75,Croatia,Central and Eastern Europe,5.321000000000001,1.115,1.161,0.737,0.38,0.12,0.039,5.432,1.155,1.266,0.914,0.29600000000000004,0.11900000000000001,0.022000000000000002,5.504700184,1.109024286,1.311264873,0.900575578,0.38145688200000005,0.113998979,0.012325006000000001
76,Dominican Republic,Latin America and Caribbean,5.3020000000000005,0.982,1.4409999999999998,0.614,0.578,0.12,0.106,5.425,1.015,1.401,0.779,0.49700000000000005,0.113,0.10099999999999999,5.6891999239999995,0.9831918479999999,1.328888893,0.7419016959999999,0.5628739,0.112196781,0.115945682
77,Algeria,Middle East and North Africa,5.295,0.9790000000000001,1.1540000000000001,0.687,0.077,0.055,0.135,5.211,1.002,1.16,0.785,0.086,0.073,0.114,5.005099773,0.9438560009999999,1.143003583,0.745418549,0.083943799,0.118915014,0.12919065400000002
78,Morocco,Middle East and North Africa,5.254,0.779,0.797,0.669,0.46,0.026000000000000002,0.07400000000000001,5.207999999999999,0.8009999999999999,0.782,0.782,0.418,0.036000000000000004,0.076,5.094799995,0.75862211,0.6452084779999999,0.745096922,0.45005413899999996,0.040032551,0.07738560400000001
79,China,East Asia,5.246,0.9890000000000001,1.1420000000000001,0.799,0.597,0.028999999999999998,0.10300000000000001,5.191,1.0290000000000001,1.125,0.893,0.521,0.057999999999999996,0.1,5.123899937,0.990533412,1.132080674,0.867248535,0.6016051170000001,0.079021044,0.117255554
80,Azerbaijan,Commonwealth of Independent States,5.2010000000000005,1.024,1.161,0.603,0.43,0.031,0.17600000000000002,5.207999999999999,1.043,1.147,0.769,0.35100000000000003,0.035,0.182,5.164800167,0.990272701,1.180613041,0.731134057,0.467734724,0.040113214,0.24730718100000001
81,Tajikistan,Commonwealth of Independent States,5.199,0.474,1.166,0.598,0.292,0.187,0.034,5.4670000000000005,0.493,1.0979999999999999,0.718,0.389,0.23,0.14400000000000002,5.555699825,0.474874616,1.218377709,0.680594802,0.521141171,0.182417125,0.221779913
82,Jordan,Middle East and North Africa,5.1610000000000005,0.8220000000000001,1.265,0.645,0.46799999999999997,0.13,0.134,4.906000000000001,0.8370000000000001,1.225,0.815,0.38299999999999995,0.11,0.13,4.6333999630000005,0.785179198,1.140118599,0.777624726,0.42485508299999997,0.091494769,0.151878625
83,Nigeria,Sub-Saharan Africa,5.155,0.6890000000000001,1.172,0.048,0.462,0.201,0.032,5.265,0.696,1.111,0.245,0.426,0.215,0.040999999999999995,4.724100113,0.645901859,0.986717939,0.16783593600000002,0.435079455,0.221328124,0.047589935
84,Kyrgyzstan,Commonwealth of Independent States,5.131,0.53,1.416,0.594,0.54,0.281,0.035,5.261,0.551,1.4380000000000002,0.723,0.508,0.3,0.023,5.541500092000001,0.513180971,1.341036677,0.680645883,0.614617765,0.30137074,0.030466691
85,Bosnia and Herzegovina,Central and Eastern Europe,5.129,0.915,1.078,0.758,0.28,0.21600000000000003,0.0,5.386,0.945,1.212,0.845,0.212,0.263,0.006,5.674099922000001,0.91839546,1.203986526,0.813928187,0.305365741,0.264005244,0.001172487
86,Mongolia,East Asia,5.125,0.914,1.517,0.575,0.395,0.253,0.032,5.285,0.948,1.531,0.667,0.317,0.235,0.038,5.4562001229999995,0.904872775,1.4589306119999998,0.6157881620000001,0.355703115,0.26388573600000004,0.046533125999999994
87,Vietnam,Southeast Asia,5.103,0.715,1.365,0.7020000000000001,0.618,0.177,0.079,5.175,0.741,1.3459999999999999,0.851,0.5429999999999999,0.147,0.073,5.353499889,0.718092382,1.253074765,0.819133997,0.650835574,0.136488721,0.089848459
88,Indonesia,Southeast Asia,5.093,0.899,1.215,0.522,0.5379999999999999,0.484,0.018000000000000002,5.192,0.9309999999999999,1.203,0.66,0.491,0.498,0.027999999999999997,5.285600185,0.891720712,1.1548008920000001,0.610437036,0.568161428,0.542646527,0.038278612999999996
89,Cameroon,Sub-Saharan Africa,4.975,0.535,0.8909999999999999,0.182,0.45399999999999996,0.183,0.043,5.044,0.5489999999999999,0.91,0.331,0.381,0.187,0.037000000000000005,5.084899902,0.503958046,0.89972645,0.270189553,0.43924248200000005,0.198020101,0.054393422000000004
90,Bulgaria,Central and Eastern Europe,4.933,1.054,1.515,0.7120000000000001,0.359,0.064,0.009000000000000001,5.011,1.092,1.5130000000000001,0.815,0.311,0.081,0.004,5.101500034,1.046554685,1.4605789180000002,0.7777768970000001,0.417820066,0.10383371300000001,0.0
91,Nepal,South Asia,4.88,0.425,1.228,0.539,0.526,0.302,0.078,4.913,0.446,1.226,0.677,0.439,0.285,0.08900000000000001,5.137199879,0.444050372,1.100789309,0.66887939,0.480608255,0.300971806,0.127502963
92,Venezuela,Latin America and Caribbean,4.806,0.996,1.469,0.657,0.133,0.055999999999999994,0.052000000000000005,4.707,0.96,1.4269999999999998,0.805,0.154,0.064,0.047,5.053199768,0.7702386379999999,1.3485468630000002,0.76702553,0.271717221,0.08717915400000001,0.06362477700000001
93,Gabon,Sub-Saharan Africa,4.758,1.036,1.1640000000000001,0.40399999999999997,0.35600000000000004,0.032,0.052000000000000005,4.7989999999999995,1.057,1.183,0.5710000000000001,0.295,0.043,0.055,4.829299927,0.9880443809999999,1.10639751,0.522574842,0.36945989700000004,0.052013602,0.05580453900000001
94,Palestinian Territories,Middle East and North Africa,4.743,0.642,1.217,0.602,0.266,0.086,0.076,4.696000000000001,0.657,1.247,0.672,0.225,0.10300000000000001,0.066,4.552800179,0.587819219,1.194755554,0.613826573,0.29870075,0.091816261,0.07191365200000001
95,South Africa,Sub-Saharan Africa,4.724,0.94,1.41,0.33,0.516,0.10300000000000001,0.055999999999999994,4.7219999999999995,0.96,1.351,0.469,0.389,0.13,0.055,4.814099789,0.9021404390000001,1.259086251,0.407034069,0.43478182,0.12640684800000002,0.05950214
96,Iran,Middle East and North Africa,4.707,1.0590000000000002,0.7709999999999999,0.691,0.45899999999999996,0.282,0.129,4.548,1.1,0.8420000000000001,0.785,0.305,0.27,0.125,4.672399998,1.029322505,0.8862711790000001,0.749053836,0.301195472,0.27697894,0.142651513
97,Ivory Coast,Sub-Saharan Africa,4.671,0.541,0.872,0.08,0.467,0.146,0.10300000000000001,4.944,0.569,0.8079999999999999,0.23199999999999998,0.35200000000000004,0.154,0.09,5.233300208999999,0.537094414,0.7997272609999999,0.154942513,0.39712253200000003,0.16991558699999998,0.09349579400000001
98,Ghana,Sub-Saharan Africa,4.657,0.5920000000000001,0.8959999999999999,0.337,0.499,0.212,0.028999999999999998,4.996,0.611,0.868,0.486,0.381,0.245,0.04,5.1479997630000005,0.575862467,0.96636796,0.432162255,0.47729006399999996,0.261291206,0.056570380999999996
99,Senegal,Sub-Saharan Africa,4.631,0.429,1.117,0.433,0.406,0.138,0.08199999999999999,4.681,0.45,1.1340000000000001,0.5710000000000001,0.292,0.153,0.07200000000000001,4.980800152,0.5040618179999999,0.95459342,0.518391907,0.352400899,0.164397135,0.081865937
100,Laos,Southeast Asia,4.623,0.72,1.034,0.441,0.626,0.23,0.174,4.796,0.764,1.03,0.551,0.547,0.266,0.16399999999999998,4.888599873,0.714693844,0.9873918890000001,0.48637828200000005,0.612027287,0.27266711,0.194273964
101,Tunisia,Middle East and North Africa,4.592,0.9,0.9059999999999999,0.69,0.271,0.04,0.063,4.461,0.9209999999999999,1.0,0.815,0.16699999999999998,0.059000000000000004,0.055,4.392199993,0.874742687,0.8721677059999999,0.781156719,0.23586055600000003,0.055881143,0.043899573
102,Albania,Central and Eastern Europe,4.586,0.9159999999999999,0.8170000000000001,0.79,0.419,0.149,0.032,4.718999999999999,0.9470000000000001,0.848,0.8740000000000001,0.38299999999999995,0.17800000000000002,0.027000000000000003,4.882699966000001,0.906653047,0.830483913,0.8463296290000001,0.461945891,0.171027765,0.025361285
103,Sierra Leone,Sub-Saharan Africa,4.571000000000001,0.256,0.813,0.0,0.355,0.23800000000000002,0.053,4.374,0.268,0.841,0.242,0.309,0.252,0.045,3.926399946,0.24056038300000002,0.747984946,0.20395396600000001,0.38202768600000003,0.257647008,0.047940935999999996
104,Congo (Brazzaville),Sub-Saharan Africa,4.559,0.682,0.8109999999999999,0.34299999999999997,0.514,0.091,0.077,4.812,0.6729999999999999,0.799,0.508,0.37200000000000005,0.105,0.09300000000000001,5.1943998339999995,0.633616745,0.7576360109999999,0.45810112399999997,0.386514395,0.11721601300000001,0.118670784
105,Bangladesh,South Asia,4.5,0.532,0.85,0.579,0.58,0.153,0.14400000000000002,4.456,0.562,0.9279999999999999,0.723,0.527,0.166,0.14300000000000002,4.832799911,0.556156278,0.8688005809999999,0.694940507,0.604130566,0.17674511699999998,0.176735908
106,Sri Lanka,South Asia,4.471,0.9179999999999999,1.314,0.672,0.585,0.307,0.05,4.3660000000000005,0.9490000000000001,1.265,0.831,0.47,0.244,0.047,4.327000141,0.897986948,1.19494009,0.792036712,0.528632462,0.25266614600000004,0.049444564
107,Iraq,Middle East and North Africa,4.456,1.01,0.971,0.536,0.304,0.14800000000000002,0.095,4.437,1.043,0.98,0.574,0.24100000000000002,0.14800000000000002,0.08900000000000001,4.7848000530000006,0.9820187090000001,1.011466622,0.529350698,0.283588052,0.15300206800000002,0.073164992
108,Mali,Sub-Saharan Africa,4.447,0.37,1.2329999999999999,0.152,0.36700000000000005,0.139,0.055999999999999994,4.39,0.385,1.105,0.308,0.327,0.153,0.052000000000000005,4.729300021999999,0.35246264899999996,0.97314173,0.234981522,0.377534449,0.16966705,0.06214627599999999
