,Country,Region,Score Average,GDP per Capita Average,Social Support Average,Healthy Life Expectancy Average,Generosity Average,Freedom to Make Life Choices Average,Perceptions of Corruption Average
76,Dominican Republic,Latin America and Caribbean,5.472066641333334,0.993,1.3902962976666666,0.7116338986666667,0.11506559366666665,0.5459579666666666,0.10764856066666666
77,Algeria,Middle East and North Africa,5.1703665910000005,0.9866666666666667,1.1523345276666668,0.7391395163333333,0.08230500466666667,0.08231459966666665,0.12606355133333333
78,Morocco,Middle East and North Africa,5.185599998333333,0.7863333333333333,0.741402826,0.7320323073333334,0.034010850333333335,0.442684713,0.07579520133333334
79,China,East Asia,5.186966645666668,1.0023333333333335,1.1330268913333335,0.853082845,0.055340348000000004,0.5732017056666666,0.10675185133333333
80,Azerbaijan,Commonwealth of Independent States,5.191266722333332,1.0303333333333333,1.1628710136666667,0.7010446856666667,0.03537107133333334,0.41624490799999997,0.20176906033333333
81,Tajikistan,Commonwealth of Independent States,5.407233275,0.4803333333333333,1.1607925696666666,0.6655316006666666,0.19980570833333333,0.4007137236666667,0.133259971
82,Jordan,Middle East and North Africa,4.900133321,0.8270000000000001,1.210039533,0.7458749086666666,0.11049825633333332,0.42528502766666665,0.13862620833333333
83,Nigeria,Sub-Saharan Africa,5.048033371,0.6913333333333332,1.0899059796666666,0.15361197866666668,0.212442708,0.441026485,0.040196644999999996
84,Kyrgyzstan,Commonwealth of Independent States,5.311166697333333,0.537,1.398345559,0.665881961,0.29412358,0.5542059216666667,0.029488897
85,Bosnia and Herzegovina,Central and Eastern Europe,5.396366640666667,0.9249999999999999,1.1646621753333333,0.805642729,0.24766841466666667,0.26578858033333336,0.002390829
86,Mongolia,East Asia,5.288733374333333,0.9253333333333335,1.5023102039999998,0.6192627206666667,0.25062857866666666,0.35590103833333336,0.038844375333333334
87,Vietnam,Southeast Asia,5.210499962999999,0.7236666666666666,1.321358255,0.7907113323333332,0.1534962403333333,0.6039451913333334,0.08061615300000001
88,Indonesia,Southeast Asia,5.190200061666666,0.9096666666666667,1.1909336306666667,0.597479012,0.508215509,0.5323871426666666,0.028092871000000002
89,Cameroon,Sub-Saharan Africa,5.034633300666666,0.5396666666666667,0.90024215,0.26106318433333336,0.18934003366666666,0.424747494,0.044797807333333335
90,Bulgaria,Central and Eastern Europe,5.015166678,1.0666666666666667,1.4961929726666667,0.7682589656666666,0.08294457100000001,0.3626066886666666,0.004333333333333334
91,Nepal,South Asia,4.976733293,0.432,1.1849297696666665,0.62829313,0.295990602,0.48186941833333335,0.09816765433333334
92,Venezuela,Latin America and Caribbean,4.855399922666667,0.984,1.4148489543333334,0.7430085100000001,0.069059718,0.18623907366666667,0.054208259
93,Gabon,Sub-Saharan Africa,4.795433309,1.043,1.1511325033333335,0.49919161400000006,0.042337867333333334,0.340153299,0.05426817966666667
94,Palestinian Territories,Middle East and North Africa,4.663933393,0.6469999999999999,1.219585184666667,0.6292755243333333,0.09360542033333334,0.2632335833333333,0.07130455066666667
95,South Africa,Sub-Saharan Africa,4.753366596333334,0.9466666666666667,1.3400287503333335,0.40201135633333335,0.11980228266666666,0.44659394,0.056834046666666665
96,Iran,Middle East and North Africa,4.642466666,1.0726666666666669,0.833090393,0.7416846119999999,0.27632631333333335,0.3550651573333334,0.132217171
97,Ivory Coast,Sub-Saharan Africa,4.949433403,0.5503333333333332,0.8265757536666666,0.15564750433333333,0.156638529,0.4053741773333333,0.095498598
98,Ghana,Sub-Saharan Africa,4.933666587666667,0.5983333333333334,0.9101226533333332,0.4183874183333333,0.239430402,0.45243002133333327,0.04185679366666667
99,Senegal,Sub-Saharan Africa,4.764266717333334,0.436,1.0685311400000002,0.507463969,0.151799045,0.350133633,0.078621979
100,Laos,Southeast Asia,4.769199957666667,0.7346666666666666,1.0171306296666667,0.49279276066666666,0.25622237,0.5950090956666667,0.17742465466666665
101,Tunisia,Middle East and North Africa,4.481733331,0.907,0.9260559019999999,0.7620522396666667,0.05162704766666667,0.22462018533333336,0.05396652433333333
102,Albania,Central and Eastern Europe,4.729233322,0.9263333333333333,0.831827971,0.836776543,0.166009255,0.421315297,0.028120428333333336
103,Sierra Leone,Sub-Saharan Africa,4.2904666486666665,0.26,0.8006616486666666,0.148651322,0.2492156693333333,0.3486758953333333,0.04864697866666667
104,Congo (Brazzaville),Sub-Saharan Africa,4.855133278,0.6789999999999999,0.7892120036666666,0.4363670413333333,0.10440533766666667,0.4241714650000001,0.09622359466666668
105,Bangladesh,South Asia,4.596266637,0.542,0.8822668603333333,0.6656468356666667,0.16524837233333334,0.5703768553333334,0.15457863600000002
106,Sri Lanka,South Asia,4.388000046999999,0.9283333333333333,1.25798003,0.7650122373333333,0.2678887153333333,0.5278774873333333,0.048814854666666664
107,Iraq,Middle East and North Africa,4.559266684333334,1.021,0.987488874,0.5464502326666666,0.14966735600000003,0.2761960173333333,0.08572166399999999
108,Mali,Sub-Saharan Africa,4.522100007333333,0.375,1.10371391,0.23166050733333332,0.15388901666666668,0.35717814966666667,0.056715425333333326
109,Namibia,Sub-Saharan Africa,4.550366744999999,0.8756666666666667,1.2799127163333335,0.41629039000000007,0.065818161,0.45486632433333335,0.058106780999999996
110,Cambodia,Southeast Asia,4.6604667053333335,0.5573333333333332,1.093808678,0.560634778,0.24044736033333333,0.659980116,0.06661250066666667
111,Burkina Faso,Sub-Saharan Africa,4.593233374333333,0.3196666666666667,1.0274619666666667,0.3156112916666667,0.1794635363333333,0.296466052,0.12246935166666666
112,Egypt,Middle East and North Africa,4.245466696333334,0.8943333333333333,1.0155131783333333,0.597970437,0.07893375133333333,0.3088949113333333,0.08982059766666667
113,Mozambique,Sub-Saharan Africa,4.5022000019999995,0.20000000000000004,0.9477342926666665,0.2957412126666667,0.207807368,0.52859178,0.15302143866666668
114,Kenya,Sub-Saharan Africa,4.500666727666666,0.49933333333333324,0.9786925850000001,0.5237709196666667,0.37263403100000003,0.4847268453333333,0.05840035933333334
115,Zambia,Sub-Saharan Africa,4.081133297,0.5673333333333334,1.0003457603333332,0.3615311133333334,0.23954030066666665,0.47510584666666666,0.08523507933333334
116,Mauritania,Sub-Saharan Africa,4.406866644666667,0.5613333333333334,1.1751078563333335,0.4020616053333333,0.12296655466666666,0.12690482766666666,0.10108587833333334
117,Ethiopia,Sub-Saharan Africa,4.274066714,0.3173333333333333,0.994701094,0.468948749,0.21889936766666665,0.40285562333333336,0.12114567833333334
118,Georgia,Commonwealth of Independent States,4.510533264,0.8639999999999999,0.6630646333333333,0.6965525413333333,0.04286991166666667,0.4021647023333334,0.184362692
119,Armenia,Commonwealth of Independent States,4.518933258000001,0.8273333333333333,1.026525631,0.7522857566666666,0.093075246,0.30702526933333335,0.06553939466666667
120,Myanmar,Southeast Asia,4.325333362666666,0.6913333333333332,1.1510594223333335,0.49314769199999997,0.5779379093333333,0.5674929556666667,0.17917678466666664
121,Chad,Sub-Saharan Africa,4.357899976,0.3553333333333333,0.804039426,0.1179147,0.196601696,0.19720058966666665,0.07458513600000001
122,Congo (Kinshasa),Sub-Saharan Africa,4.324666623333333,0.07733333333333334,1.031351673,0.279404018,0.22110829433333334,0.31520766,0.06215554833333334
123,India,South Asia,3.9260999616666665,0.7323333333333334,0.7187328853333333,0.5378567133333333,0.203024161,0.539380749,0.09452932733333334
124,Niger,Sub-Saharan Africa,4.567866593666667,0.13333333333333333,0.7816000473333333,0.29527211766666667,0.19039229866666665,0.38110387166666665,0.11285158833333335
125,Uganda,Sub-Saharan Africa,4.260666720000001,0.3253333333333333,1.0704424646666666,0.3527705546666666,0.2586024576666667,0.40256085199999997,0.06160628066666666
126,Benin,Sub-Saharan Africa,4.746666693333334,0.38299999999999995,0.38714281200000006,0.32168765066666666,0.178223476,0.3982799633333333,0.09164395799999998
127,Ukraine,Commonwealth of Independent States,4.331899979999999,0.8019999999999999,1.3747721603333334,0.6822247936666667,0.184183772,0.22014123500000002,0.010217053333333335
128,Togo,Sub-Saharan Africa,4.090400023,0.26433333333333336,0.5312076196666666,0.335243726,0.1785914173333333,0.3435130126666666,0.10027548533333334
129,Guinea,Sub-Saharan Africa,4.482433270666666,0.35600000000000004,0.7907886533333333,0.306551746,0.21383028066666668,0.3659593526666667,0.09740151966666666
130,Lesotho,Sub-Saharan Africa,3.7542666943333334,0.4776666666666667,1.157646674666667,0.11597827033333334,0.10854254733333331,0.3971225106666667,0.08516127433333333
131,Madagascar,Sub-Saharan Africa,3.957533274333333,0.266,0.8825647826666666,0.4858723423333333,0.17173002133333334,0.18732251633333333,0.055416212666666666
132,Zimbabwe,Sub-Saharan Africa,3.5514000193333337,0.36000000000000004,1.0852784103333333,0.352012537,0.14478306233333335,0.38146824,0.08964285966666667
133,Afghanistan,South Asia,3.1339666716666663,0.338,0.470144613,0.294017177,0.1614115713333333,0.028333333333333335,0.020741928333333336
134,Botswana,Sub-Saharan Africa,3.5189666519999996,1.0250000000000001,1.1348982633333333,0.483033911,0.03346916233333334,0.5070298033333334,0.09792878933333334
135,Malawi,Sub-Saharan Africa,3.5116667023333332,0.18766666666666668,0.5437893633333334,0.415721099,0.21372835233333332,0.4871299443333333,0.10021131733333333
136,Haiti,Latin America and Caribbean,3.633266641,0.3176666666666666,0.6828904516666667,0.37078890999999997,0.4249698853333333,0.07343250533333334,0.12531189066666668
137,Liberia,Sub-Saharan Africa,4.009299984,0.075,0.9002446430000001,0.3674280913333334,0.22198929033333337,0.39831436533333325,0.038046625333333334
138,Rwanda,Sub-Saharan Africa,3.351433322333333,0.341,0.709958774,0.5287944283333333,0.21756832933333334,0.5983626296666666,0.446847492
139,Yemen,Middle East and North Africa,3.4208000056666665,0.39033333333333337,1.137825707,0.40700005666666667,0.09522967066666665,0.210240495,0.07611737566666667
140,Tanzania,Sub-Saharan Africa,3.3367333680000004,0.462,0.9162248813333332,0.4408926183333333,0.27251363666666667,0.46911436266666673,0.14929362033333335
141,South Sudan,Sub-Saharan Africa,2.9745333613333327,0.32666666666666666,0.5787595019999999,0.22693634433333332,0.2119782023333333,0.062536418,0.10271893300000001
142,Central African Republic,Sub-Saharan Africa,3.2139666450000006,0.02466666666666667,0.0,0.03833333333333333,0.23550440566666664,0.2742714876666667,0.033754906
143,Burundi,Sub-Saharan Africa,3.4851000086666666,0.076,0.49252509033333336,0.2734042783333333,0.17080059533333336,0.18679968633333335,0.156062276
